Date_time,No.of Black_listed_IPs
2017-05-23_1330,21241
2017-05-23_1345,21241
2017-05-23_1400,21241
2017-05-23_1415,21241
2017-05-23_1430,21241
2017-05-23_1445,21241
2017-05-23_1500,21241
2017-05-23_1515,21239
2017-05-23_1530,21239
2017-05-23_1545,21239
2017-05-23_1600,21239
2017-05-23_1615,21239
2017-05-23_1630,21239
2017-05-23_1646,21239
2017-05-23_1700,21239
2017-05-23_1715,21241
2017-05-23_1730,21241
2017-05-23_1745,21241
2017-05-23_1800,21241
2017-05-23_1815,21829
2017-05-23_1830,21829
2017-05-23_1845,21829
2017-05-23_1900,21829
2017-05-23_1915,21266
2017-05-23_1930,21266
2017-05-23_1945,21266
2017-05-23_2000,21266
2017-05-23_2015,21266
2017-05-23_2030,21266
2017-05-23_2045,21266
2017-05-23_2100,21266
2017-05-23_2115,21270
2017-05-23_2130,21270
2017-05-23_2145,21270
2017-05-23_2200,21270
2017-05-23_2215,21270
2017-05-23_2230,21270
2017-05-23_2245,21270
2017-05-23_2315,21278
2017-05-23_2330,21278
2017-05-23_2345,21278
2017-05-24_0000,21278
2017-05-24_0015,21278
2017-05-24_0030,21278
2017-05-24_0045,21278
2017-05-24_0100,21278
2017-05-24_0115,21279
2017-05-24_0130,21279
2017-05-24_0145,21279
2017-05-24_0200,21279
2017-05-24_0215,21278
2017-05-24_0230,21278
2017-05-24_0245,21278
2017-05-24_0300,21278
2017-05-24_0315,21275
2017-05-24_0330,21275
2017-05-24_0345,21275
2017-05-24_0400,21275
2017-05-24_0415,21275
2017-05-24_0430,21275
2017-05-24_0445,21275
2017-05-24_0500,21275
2017-05-24_0515,21274
2017-05-24_0530,21274
2017-05-24_0545,21274
2017-05-24_0600,21274
2017-05-24_0615,21274
2017-05-24_0630,21274
2017-05-24_0645,21274
2017-05-24_0700,21274
2017-05-24_0715,21272
2017-05-24_0730,21272
2017-05-24_0745,21272
2017-05-24_0800,21273
2017-05-24_0815,21273
2017-05-24_0830,21273
2017-05-24_0845,21273
2017-05-24_0900,21273
2017-05-24_0915,21270
2017-05-24_0930,21270
2017-05-24_0945,21270
2017-05-24_1000,21270
2017-05-24_1015,21270
2017-05-24_1030,21270
2017-05-24_1045,21270
2017-05-24_1100,21270
2017-05-24_1115,21272
2017-05-24_1130,21272
2017-05-24_1145,21272
2017-05-24_1200,21272
2017-05-24_1215,21272
2017-05-24_1230,21272
2017-05-24_1245,21272
2017-05-24_1300,21272
2017-05-24_1315,21271
2017-05-24_1330,21271
2017-05-24_1345,21271
2017-05-24_1400,21271
2017-05-24_1415,21271
2017-05-24_1430,21271
2017-05-24_1445,21271
2017-05-24_1500,21271
2017-05-24_1515,21272
2017-05-24_1530,21272
2017-05-24_1545,21272
2017-05-24_1600,21272
2017-05-24_1615,21272
2017-05-24_1630,21272
2017-05-24_1645,21272
2017-05-24_1700,21272
2017-05-24_1715,21267
2017-05-24_1730,21542
2017-05-24_1745,21203
2017-05-24_1800,21203
2017-05-24_1815,21203
2017-05-24_1830,21203
2017-05-24_1845,21203
2017-05-24_1900,21203
2017-05-24_1915,21204
2017-05-24_1930,21204
2017-05-24_1945,21204
2017-05-24_2000,21204
2017-05-24_2015,21204
2017-05-24_2030,21204
2017-05-24_2045,21204
2017-05-24_2100,21204
2017-05-24_2115,21208
2017-05-24_2130,21208
2017-05-24_2145,21208
2017-05-24_2200,21208
2017-05-24_2215,21208
2017-05-24_2230,21208
2017-05-24_2245,21208
2017-05-24_2300,21208
2017-05-24_2315,21210
2017-05-24_2330,21210
2017-05-24_2345,21210
2017-05-25_0000,21210
2017-05-25_0015,21210
2017-05-25_0030,21210
2017-05-25_0045,21210
2017-05-25_0100,21210
2017-05-25_0115,21208
2017-05-25_0130,21208
2017-05-25_0145,21208
2017-05-25_0200,21208
2017-05-25_0215,21208
2017-05-25_0245,21208
2017-05-25_0315,21206
2017-05-25_0330,21206
2017-05-25_0345,21206
2017-05-25_0400,21206
2017-05-25_0415,21206
2017-05-25_0430,21206
2017-05-25_0445,21206
2017-05-25_0500,21206
2017-05-25_0515,21205
2017-05-25_0530,21205
2017-05-25_0545,21205
2017-05-25_0600,21205
2017-05-25_0615,21205
2017-05-25_0630,21205
2017-05-25_0645,21205
2017-05-25_0700,21205
2017-05-25_0715,21199
2017-05-25_0730,21198
2017-05-25_0745,21198
2017-05-25_0800,21198
2017-05-25_0815,21198
2017-05-25_0831,21198
2017-05-25_0845,21198
2017-05-25_0900,21198
2017-05-25_0915,21189
2017-05-25_0930,21189
2017-05-25_0945,21189
2017-05-25_1000,21189
2017-05-25_1015,21189
2017-05-25_1030,21189
2017-05-25_1045,21189
2017-05-25_1100,21189
2017-05-25_1115,21188
2017-05-25_1130,21188
2017-05-25_1145,21188
2017-05-25_1200,21188
2017-05-25_1215,21188
2017-05-25_1230,21188
2017-05-25_1245,21188
2017-05-25_1300,21188
2017-05-25_1315,21185
2017-05-25_1330,21185
2017-05-25_1345,21185
2017-05-25_1400,21185
2017-05-25_1415,21185
2017-05-25_1430,21185
2017-05-25_1445,21185
2017-05-25_1500,21185
2017-05-25_1515,21178
2017-05-25_1530,21178
2017-05-25_1545,21178
2017-05-25_1600,21178
2017-05-25_1615,21179
2017-05-25_1630,21179
2017-05-25_1645,21179
2017-05-25_1700,21179
2017-05-25_1715,21176
2017-05-25_1730,20520
2017-05-25_1745,20520
2017-05-25_1800,20520
2017-05-25_1815,20520
2017-05-25_1830,20520
2017-05-25_1845,20520
2017-05-25_1900,20520
2017-05-25_1915,20522
2017-05-25_1930,20522
2017-05-25_1945,20522
2017-05-25_2000,20522
2017-05-25_2015,20522
2017-05-25_2030,20522
2017-05-25_2045,20522
2017-05-25_2100,20522
2017-05-25_2115,20518
2017-05-25_2130,20518
2017-05-25_2145,20518
2017-05-25_2200,20518
2017-05-25_2215,20518
2017-05-25_2230,20518
2017-05-25_2245,20518
2017-05-25_2301,20518
2017-05-25_2315,20525
2017-05-25_2330,20525
2017-05-25_2345,20525
2017-05-26_0000,20525
2017-05-26_0015,20525
2017-05-26_0030,20525
2017-05-26_0045,20525
2017-05-26_0100,20525
2017-05-26_0115,20528
2017-05-26_0130,20528
2017-05-26_0145,20528
2017-05-26_0200,20528
2017-05-26_0215,20528
2017-05-26_0230,20528
2017-05-26_0245,20528
2017-05-26_0300,20527
2017-05-26_0315,20527
2017-05-26_0330,20527
2017-05-26_0345,20527
2017-05-26_0400,20527
2017-05-26_0415,20527
2017-05-26_0430,20527
2017-05-26_0445,20527
2017-05-26_0500,20527
2017-05-26_0515,20529
2017-05-26_0530,20529
2017-05-26_0545,20529
2017-05-26_0600,20529
2017-05-26_0615,21165
2017-05-26_0630,21165
2017-05-26_0645,21165
2017-05-26_0700,21165
2017-05-26_0715,21164
2017-05-26_0730,21164
2017-05-26_0745,21164
2017-05-26_0800,21164
2017-05-26_0815,21164
2017-05-26_0830,21164
2017-05-26_0845,21164
2017-05-26_0900,21164
2017-05-26_0915,21166
2017-05-26_0930,21166
2017-05-26_0945,21166
2017-05-26_1000,21166
