Time,Diversity_flag,Count
"September 19th 2017, 22:30:00.000",_snort,"9,789"
"September 19th 2017, 22:30:00.000",_snort_suricata,879
"September 21st 2017, 15:30:00.000",_suricata,"14,838"
"September 21st 2017, 15:30:00.000",_snort,"9,862"
"September 21st 2017, 15:30:00.000",_snort_suricata,858
"September 22nd 2017, 17:00:00.000",_suricata,"14,887"
"September 22nd 2017, 17:00:00.000",_snort,"6,995"
"September 22nd 2017, 17:00:00.000",_snort_suricata,848
"September 22nd 2017, 18:00:00.000",_suricata,"14,244"
"September 22nd 2017, 18:00:00.000",_snort,"6,996"
"September 22nd 2017, 18:00:00.000",_snort_suricata,848
"September 22nd 2017, 22:30:00.000",_suricata,"14,246"
"September 22nd 2017, 22:30:00.000",_snort,"7,002"
"September 22nd 2017, 22:30:00.000",_snort_suricata,846
"September 26th 2017, 00:00:00.000",_suricata,"14,789"
"September 26th 2017, 00:00:00.000",_snort,"6,962"
"September 26th 2017, 00:00:00.000",_snort_suricata,862
"September 27th 2017, 01:00:00.000",_suricata,"14,715"
"September 27th 2017, 01:00:00.000",_snort,"7,056"
"September 27th 2017, 01:00:00.000",_snort_suricata,866
"September 28th 2017, 18:30:00.000",_suricata,"15,788"
"September 28th 2017, 18:30:00.000",_snort,"7,952"
"September 28th 2017, 18:30:00.000",_snort_suricata,0
"September 28th 2017, 22:30:00.000",_suricata,"14,242"
"September 28th 2017, 22:30:00.000",_snort,"7,074"
"September 28th 2017, 22:30:00.000",_snort_suricata,870
"September 30th 2017, 00:00:00.000",_suricata,"14,773"
"September 30th 2017, 00:00:00.000",_snort,"7,144"
"September 30th 2017, 00:00:00.000",_snort_suricata,846
"October 2nd 2017, 22:30:00.000",_suricata,"14,836"
"October 2nd 2017, 22:30:00.000",_snort,"7,026"
"October 2nd 2017, 22:30:00.000",_snort_suricata,874
"October 3rd 2017, 02:00:00.000",_suricata,"14,847"
"October 3rd 2017, 02:00:00.000",_snort,"7,035"
"October 3rd 2017, 02:00:00.000",_snort_suricata,875
"October 3rd 2017, 23:30:00.000",_suricata,"14,098"
"October 3rd 2017, 23:30:00.000",_snort,"7,138"
"October 3rd 2017, 23:30:00.000",_snort_suricata,876
"October 4th 2017, 02:00:00.000",_suricata,"14,795"
"October 4th 2017, 02:00:00.000",_snort,"7,152"
"October 4th 2017, 02:00:00.000",_snort_suricata,877
"October 4th 2017, 22:00:00.000",_suricata,"14,900"
"October 4th 2017, 22:00:00.000",_snort,"7,140"
"October 4th 2017, 22:00:00.000",_snort_suricata,891
"October 5th 2017, 22:30:00.000",_suricata,"14,873"
"October 5th 2017, 22:30:00.000",_snort,"7,135"
"October 5th 2017, 22:30:00.000",_snort_suricata,879
"October 6th 2017, 22:30:00.000",_suricata,"15,105"
"October 6th 2017, 22:30:00.000",_snort,"7,131"
"October 6th 2017, 22:30:00.000",_snort_suricata,903
"October 9th 2017, 22:00:00.000",_snort,"15,336"
"October 9th 2017, 22:00:00.000",_suricata,"14,959"
"October 9th 2017, 22:00:00.000",_snort_suricata,903
"October 11th 2017, 17:00:00.000",_snort,"17,962"
"October 11th 2017, 17:00:00.000",_suricata,"14,926"
